epoch,timestep,train_ep_len,train_ep_ret,test_ep_len,test_ep_ret,time_rem
69,69000,200.0,-99.29144199993245,200.0,-129.7598185542896,0:07:41
70,70000,200.0,-122.250812658995,200.0,-208.09161433316498,0:07:26
71,71000,200.0,-166.0169882541486,200.0,-141.78708736635258,0:07:12
72,72000,200.0,-99.68553905283984,200.0,-156.1696428721993,0:06:57
73,73000,200.0,-121.0312990048316,200.0,-162.39823233311,0:06:43
74,74000,200.0,-193.8286790257098,200.0,-130.22519826595024,0:06:28
75,75000,200.0,-145.87024958566766,200.0,-117.97686147369237,0:06:14
76,76000,200.0,-214.706923020055,200.0,-146.83817493934748,0:05:59
77,77000,200.0,-192.09388491870723,200.0,-166.27988758992555,0:05:44
78,78000,200.0,-144.16611700574268,200.0,-175.36633045593595,0:05:30
79,79000,200.0,-73.64853857038436,200.0,-154.20095750267424,0:05:15
80,80000,200.0,-144.6294911033962,200.0,-153.9658355755899,0:05:00
81,81000,200.0,-258.22081548176783,200.0,-163.24902863607718,0:04:46
82,82000,200.0,-121.00341954386025,200.0,-186.53558034922045,0:04:31
83,83000,200.0,-120.04135275322396,200.0,-118.85470090178951,0:04:16
84,84000,200.0,-216.91078165492212,200.0,-166.75403942320276,0:04:02
85,85000,200.0,-162.2322566354559,200.0,-129.11598509823705,0:03:47
86,86000,200.0,-122.78950070801474,200.0,-151.05634852350164,0:03:33
87,87000,200.0,-168.56160029226334,200.0,-207.05742827588574,0:03:19
88,88000,200.0,-73.2505542319844,200.0,-133.29605446799764,0:03:04
89,89000,200.0,-149.4638064186013,200.0,-130.0818573967685,0:02:49
90,90000,200.0,-142.13540637051966,200.0,-149.76851352671852,0:02:34
91,91000,200.0,-149.7109004528633,200.0,-109.26290652066434,0:02:19
92,92000,200.0,-188.69127442168826,200.0,-139.76852621343247,0:02:03
93,93000,200.0,-123.33775286179502,200.0,-178.8489890161477,0:01:48
94,94000,200.0,-142.05064195128142,200.0,-189.58861820371803,0:01:33
95,95000,200.0,-119.05008015093438,200.0,-163.48219220177586,0:01:17
96,96000,200.0,-119.73988723282942,200.0,-175.03848421081653,0:01:02
97,97000,200.0,-117.41422411988705,200.0,-164.39960455351468,0:00:46
98,98000,200.0,-123.22768947752877,200.0,-140.5924798283064,0:00:31
99,99000,200.0,-119.59417378509897,200.0,-130.01749606703288,0:00:15
100,100000,200.0,-144.8310128314278,200.0,-114.4879756950626,0:00:00
