Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
32	1528.0796	1117.3923	3251.7505	142.7466	1957.1713	1105.732	4008.5342	359.89197	573.2941	607.4	319999	125.60986	51.9377	234.33217	-119.19259	125.60989	51.937202	234.11342	-106.59547	-1.5182208	3.5321348	49.456867	-14.885597	-126.068825	31.716724	7360.095152378082
33	1982.5354	1112.756	3500.5393	85.71746	2933.5718	1357.764	3985.5742	711.9569	641.13336	841.8	329999	129.88174	55.431587	241.69717	-101.32413	129.88176	55.430637	245.51268	-103.650826	-1.3703268	3.6004498	84.62912	-15.625972	-130.31683	34.68203	7609.73770236969
34	2282.6687	1008.6923	3698.7942	255.723	3538.9512	891.81964	4301.7637	1693.6549	711.26666	871.7	339999	133.96382	58.75025	248.4035	-116.49887	133.96432	58.750122	248.79556	-108.56645	-1.2482991	3.6347136	56.958927	-15.816866	-134.38977	38.379593	7858.40065073967
35	2398.14	937.6278	3667.2134	565.0029	3651.1382	85.97895	3763.6	3525.6135	705.4286	1000.0	349999	138.14357	61.747055	261.29974	-150.04594	138.14359	61.746616	256.04633	-144.58385	-1.1393589	3.7015173	64.888565	-17.083126	-138.53815	40.461643	8109.4483144283295
36	2238.34	1099.8138	3860.2974	593.13306	4263.307	104.578606	4490.4487	4130.8887	853.6667	1000.0	359999	141.35358	64.44146	259.51877	-152.9629	141.35405	64.43848	261.98596	-89.599815	-1.0037282	3.7569113	71.018005	-14.174992	-141.72504	44.800957	8355.888756990433
37	2470.205	1266.6396	3888.9382	426.65747	4222.373	126.05248	4527.7954	4114.182	792.5	1000.0	369999	144.94698	67.08675	266.22513	-124.68405	144.94698	67.083206	267.16635	-135.26503	-0.9266857	3.8127337	113.14828	-15.716682	-145.33246	43.780094	8602.331656694412
38	2777.5437	1140.7201	3874.9485	347.4074	4051.92	301.5208	4272.251	3206.1082	815.5833	1000.0	379999	148.94847	70.10285	272.17715	-135.76411	148.94852	70.09976	275.7625	-100.0849	-0.84792805	3.869265	92.379906	-13.802572	-149.31602	45.431458	8851.78926205635
39	2508.6228	1535.0669	3994.2896	9.572114	4210.741	716.1341	4660.897	2111.719	667.06665	993.7	389999	153.0789	72.64587	279.5909	-125.67109	153.07904	72.64284	279.2537	-234.18808	-0.7075149	3.8997853	116.98191	-13.286842	-153.42435	48.746586	9137.087894201279
40	2734.2422	1302.827	3966.553	219.82253	4166.996	781.81976	4675.9985	1867.0327	734.3571	945.6	399999	157.35518	75.15263	288.59293	-104.46682	157.35498	75.14886	290.84125	-137.74483	-0.56744254	3.9780607	106.00983	-13.819537	-157.69588	50.674786	9432.665877342224
41	3041.672	1186.8713	4129.78	493.8604	3864.2559	700.92883	4371.9927	2011.2039	858.6667	977.2	409999	161.44972	77.71921	295.43152	-164.8425	161.44992	77.71516	294.29666	-147.95456	-0.51586175	3.971603	90.62598	-15.05187	-161.77596	52.30227	9728.407005786896
